regionid,regiontype,relativesignificance,subclass,regionname,regionnamelong,parentregionid
6254134,Point of Interest,,medical,Ottawa Health Sciences Centre,"Ottawa Health Sciences Centre, Ottawa, Ontario, Canada",4025
6254140,Point of Interest,,medical,Perley and Rideau Veterans' Health Centre,"Perley and Rideau Veterans' Health Centre, Ottawa, Ontario, Canada",4025
6254150,Point of Interest,,medical,Ottawa Hospital Civic Campus,"Ottawa Hospital Civic Campus, Ottawa, Ontario, Canada",4025
6294268,Point of Interest,,tree,Rideau River Provincial Park,"Rideau River Provincial Park, Kemptville, Ontario, Canada",4025
553248621532865470,Point of Interest,,,Canadian Golf & Country Club,"Canadian Golf & Country Club, Ottawa, Ontario, Canada",4025
553248621532865564,Point of Interest,,,Manderley on the Green,"Manderley on the Green, Ottawa, Ontario, Canada",4025
553248621532865570,Point of Interest,,,Funhaven Entertainment Centre,"Funhaven Entertainment Centre, Ottawa, Ontario, Canada",4025
553248621532865571,Point of Interest,,,Maplelawn Garden,"Maplelawn Garden, Ottawa, Ontario, Canada",4025
553248621532865577,Point of Interest,,,Saint John the Baptist Ukrainian Catholic Shrine,"Saint John the Baptist Ukrainian Catholic Shrine, Ottawa, Ontario, Canada",4025
553248621532865579,Point of Interest,,,Canadian Ski Museum,"Canadian Ski Museum, Ottawa, Ontario, Canada",4025
553248621532865596,Point of Interest,,,Great Canadian Theatre Company,"Great Canadian Theatre Company, Ottawa, Ontario, Canada",4025
553248621532865693,Point of Interest,,,Billings Estate Museum,"Billings Estate Museum, Ottawa, Ontario, Canada",4025
553248621532865694,Point of Interest,,,Tag Zone - Indoor Paintless Paintball,"Tag Zone - Indoor Paintless Paintball, Ottawa, Ontario, Canada",4025
553248621532865695,Point of Interest,,,Laser Quest,"Laser Quest, Ottawa, Ontario, Canada",4025
553248621533088030,Point of Interest,,,RCMP Musical Ride Centre,"RCMP Musical Ride Centre, Ottawa, Ontario, Canada",4025
553248621562270161,Point of Interest,,,Vincent Massey Park,"Vincent Massey Park, Ottawa, Ontario, Canada",4025
553248635923089347,Point of Interest,,,Rideau Falls,"Rideau Falls, Ottawa, Ontario, Canada",4025
553248635964975280,Point of Interest,,regional,Dominion Arboretum,"Dominion Arboretum, Ottawa, Ontario, Canada",4025
6237152,Train Station,,,Ottawa Station,"Ottawa Station, Ontario, Canada",4025
6237134,Metro Station,,,Bayview Station,"Bayview Station, Ottawa, Ontario, Canada",4025
6237141,Metro Station,,,Carleton Station,"Carleton Station, Ottawa, Ontario, Canada",4025
6323361,Point of Interest,,museums,Prince Albert Historical Museum,"Prince Albert Historical Museum, Prince Albert, Saskatchewan, Canada",4026
6323366,Point of Interest,,icecream,Art Hauser Centre,"Art Hauser Centre, Prince Albert, Saskatchewan, Canada",4026
6323371,Point of Interest,,icecream,Kinsmen Park,"Kinsmen Park, Prince Albert, Saskatchewan, Canada",4026
6323379,Point of Interest,,casino,Northern Lights Casino,"Northern Lights Casino, Prince Albert, Saskatchewan, Canada",4026
553248634255035370,Point of Interest,,,Rotary Museum of Police and Corrections,"Rotary Museum of Police and Corrections, Prince Albert, Saskatchewan, Canada",4026
553248634255036608,Point of Interest,,,Cooke Municipal Golf Course,"Cooke Municipal Golf Course, Prince Albert, Saskatchewan, Canada",4026
553248634255037324,Point of Interest,,,E. A. Rawlinson Centre,"E. A. Rawlinson Centre, Prince Albert, Saskatchewan, Canada",4026
6171474,Point of Interest,,tree,Horne Lake Caves Provincial Park,"Horne Lake Caves Provincial Park, Port Alberni, British Columbia, Canada",4027
6290508,Point of Interest,,icecream,Alberni Charters,"Alberni Charters, Port Alberni, British Columbia, Canada",4027
6290519,Point of Interest,,museums,Alberni Valley Museum,"Alberni Valley Museum, Port Alberni, British Columbia, Canada",4027
6290973,Point of Interest,,sunglass,Canal Beach,"Canal Beach, Port Alberni, British Columbia, Canada",4027
6291045,Point of Interest,,winery,Chase and Warren Winery,"Chase and Warren Winery, Port Alberni, British Columbia, Canada",4027
6291454,Point of Interest,,monument,Nuu-Chah-Nulth Whaling Canoe Sculpture,"Nuu-Chah-Nulth Whaling Canoe Sculpture, Port Alberni, British Columbia, Canada",4027
6291474,Point of Interest,,icecream,Raptors Centre,"Raptors Centre, Duncan, British Columbia, Canada",4027
6291518,Point of Interest,,historic,Sproat Lake Petroglyphs,"Sproat Lake Petroglyphs, Port Alberni, British Columbia, Canada",4027
6291552,Point of Interest,,anchor,Harbour Quay,"Harbour Quay, Port Alberni, British Columbia, Canada",4027
6291554,Point of Interest,,museums,Maritime Discovery Centre,"Maritime Discovery Centre, Port Alberni, British Columbia, Canada",4027
6291858,Point of Interest,,museums,Rollin Art Centre Gallery,"Rollin Art Centre Gallery, Port Alberni, British Columbia, Canada",4027
6291888,Point of Interest,,tree,Stamp River Provincial Park,"Stamp River Provincial Park, Port Alberni, British Columbia, Canada",4027
6294601,Point of Interest,,museums,McLean Mill National Historic Site,"McLean Mill National Historic Site, Port Alberni, British Columbia, Canada",4027
6294628,Point of Interest,,historic,Alberni Pacific Railway,"Alberni Pacific Railway, Port Alberni, British Columbia, Canada",4027
6294630,Point of Interest,,stadium,Alberni Valley Multiplex Ice Skating Rink,"Alberni Valley Multiplex Ice Skating Rink, Port Alberni, British Columbia, Canada",4027
6310137,Point of Interest,,tree,MacMillan Provincial Park,"MacMillan Provincial Park, Port Alberni, British Columbia, Canada",4027
553248621532777736,Point of Interest,,,Stamp River Provincial Park,"Stamp River Provincial Park, Port Alberni, British Columbia, Canada",4027
553248621532777737,Point of Interest,,,Petroglyphs at Sproat Lake,"Petroglyphs at Sproat Lake, Port Alberni, British Columbia, Canada",4027
553248621532777738,Point of Interest,,,McLean Steam Sawmill,"McLean Steam Sawmill, Port Alberni, British Columbia, Canada",4027
553248621533087719,Point of Interest,,,Cathedral Grove,"Cathedral Grove, Port Alberni, British Columbia, Canada",4027
553248635921542012,Point of Interest,,,Hole In The Wall,"Hole In The Wall, Port Alberni, British Columbia, Canada",4027
6190388,Point of Interest,,tree,Riverfront Park,"Riverfront Park, Peace River, Alberta, Canada",4029
6190403,Point of Interest,,tree,Normand Boucher Community Arboretum,"Normand Boucher Community Arboretum, Peace River, Alberta, Canada",4029
6190407,Point of Interest,,skiing,Misery Mountain Ski Hill,"Misery Mountain Ski Hill, Peace River, Alberta, Canada",4029
553248621532864382,Point of Interest,,,Peace River Park,"Peace River Park, Peace River, Alberta, Canada",4029
553248621583492138,Point of Interest,,,Pickle Lake Park,"Pickle Lake Park, Pickle Lake, Ontario, Canada",4033
553248621583492139,Point of Interest,,,Our Lady of the Holy Rosary Church,"Our Lady of the Holy Rosary Church, Pickle Lake, Ontario, Canada",4033
553248621583492140,Point of Interest,,,Pickle Lake Arena,"Pickle Lake Arena, Pickle Lake, Ontario, Canada",4033
6291122,Point of Interest,,school,Trent University,"Trent University, Peterborough, Ontario, Canada",4037
6291669,Point of Interest,,tree,Peterborough Lift Lock,"Peterborough Lift Lock, Peterborough, Ontario, Canada",4037
6291671,Point of Interest,,museums,Art Gallery of Peterborough,"Art Gallery of Peterborough, Peterborough, Ontario, Canada",4037
6291940,Point of Interest,,stadium,Peterborough Memorial Centre,"Peterborough Memorial Centre, Peterborough, Ontario, Canada",4037
6291954,Point of Interest,,museums,Canadian Canoe Museum,"Canadian Canoe Museum, Peterborough, Ontario, Canada",4037
6292079,Point of Interest,,icecream,Riverview Park and Zoo,"Riverview Park and Zoo, Peterborough, Ontario, Canada",4037
553248621532865192,Point of Interest,,,Kawartha Golf and Country Club,"Kawartha Golf and Country Club, Peterborough, Ontario, Canada",4037
553248621532865193,Point of Interest,,,Milltown Mini Golf – Family Fun Park,"Milltown Mini Golf – Family Fun Park, Peterborough, Ontario, Canada",4037
553248621532865194,Point of Interest,,,Rock & Rope Climbing Centre,"Rock & Rope Climbing Centre, Peterborough, Ontario, Canada",4037
553248621532865221,Point of Interest,,,Hutchison House Museum,"Hutchison House Museum, Peterborough, Ontario, Canada",4037
553248621532865222,Point of Interest,,,Dickson House,"Dickson House, Peterborough, Ontario, Canada",4037
553248621532865225,Point of Interest,,,Showplace Performance Centre,"Showplace Performance Centre, Peterborough, Ontario, Canada",4037
553248621532865226,Point of Interest,,,Smith Town Hill House,"Smith Town Hill House, Peterborough, Ontario, Canada",4037
553248621532865228,Point of Interest,,,Peck House,"Peck House, Peterborough, Ontario, Canada",4037
553248621532865229,Point of Interest,,,Peterborough Museum and Archives,"Peterborough Museum and Archives, Peterborough, Ontario, Canada",4037
553248621532865230,Point of Interest,,,Peterborough Golf & Country Club,"Peterborough Golf & Country Club, Peterborough, Ontario, Canada",4037
6348491,Neighborhood,,neighbor,Weston,"Weston, Toronto, Ontario, Canada",4089
553248621562268924,Point of Interest,,,Cathedral of Saint Peter-In-Chains,"Cathedral of Saint Peter-In-Chains, Peterborough, Ontario, Canada",4037
553248621562268926,Point of Interest,,,Market Hall Performing Arts,"Market Hall Performing Arts, Peterborough, Ontario, Canada",4037
553248621563220842,Point of Interest,,,Fleming College,"Fleming College, Peterborough, Ontario, Canada",4037
553248621563220850,Point of Interest,,,Blue Tomato Art Shop,"Blue Tomato Art Shop, Peterborough, Ontario, Canada",4037
553248621579009941,Point of Interest,,,OFAH Mario Cortellucci Hunting & Fishing Heritage Centre,"OFAH Mario Cortellucci Hunting & Fishing Heritage Centre, Peterborough, Ontario, Canada",4037
553248621579009944,Point of Interest,,,Lansdowne Place,"Lansdowne Place, Peterborough, Ontario, Canada",4037
553248621579009949,Point of Interest,,,Kawartha Artists' Gallery & Studio,"Kawartha Artists' Gallery & Studio, Peterborough, Ontario, Canada",4037
6193622,Point of Interest,,golf,Prince Rupert Centennial Golf,"Prince Rupert Centennial Golf, Prince Rupert, British Columbia, Canada",4038
6193627,Point of Interest,,theater,Lester Centre of the Arts,"Lester Centre of the Arts, Prince Rupert, British Columbia, Canada",4038
6193629,Point of Interest,,museums,Museum Of Northern British Columbia,"Museum Of Northern British Columbia, Prince Rupert, British Columbia, Canada",4038
6193632,Point of Interest,,tree,Rotary Waterfront Park,"Rotary Waterfront Park, Prince Rupert, British Columbia, Canada",4038
6275315,Point of Interest,,casino,Chances Prince Rupert,"Chances Prince Rupert, Prince Rupert, British Columbia, Canada",4038
553248621532863778,Point of Interest,,,Sunken Gardens Park,"Sunken Gardens Park, Prince Rupert, British Columbia, Canada",4038
553248621532863784,Point of Interest,,,Port Interpretive Centre,"Port Interpretive Centre, Prince Rupert, British Columbia, Canada",4038
553248621532863888,Point of Interest,,,Metlakatla Wilderness Trail,"Metlakatla Wilderness Trail, Prince Rupert, British Columbia, Canada",4038
553248621533087732,Point of Interest,,,Totem Park,"Totem Park, Prince Rupert, British Columbia, Canada",4038
553248621561096547,Point of Interest,,,Butze Rapids,"Butze Rapids, Prince Rupert, British Columbia, Canada",4038
553248621561096601,Point of Interest,,,Mount Hays,"Mount Hays, Prince Rupert, British Columbia, Canada",4038
553248621561096602,Point of Interest,,,Kwinitsa Station Railway Museum,"Kwinitsa Station Railway Museum, Prince Rupert, British Columbia, Canada",4038
553248621561096604,Point of Interest,,,Prince Rupert Fire Museum,"Prince Rupert Fire Museum, Prince Rupert, British Columbia, Canada",4038
553248621561096605,Point of Interest,,,Pacific Mariners Memorial Park,"Pacific Mariners Memorial Park, Prince Rupert, British Columbia, Canada",4038
553248621561173672,Point of Interest,,,First Nation Carving Shed,"First Nation Carving Shed, Prince Rupert, British Columbia, Canada",4038
553248621583444258,Point of Interest,,,Alaska Ferry Terminal,"Alaska Ferry Terminal, Prince Rupert, British Columbia, Canada",4038
553248621583444259,Point of Interest,,,Digby Island Ferry Terminal,"Digby Island Ferry Terminal, Prince Rupert, British Columbia, Canada",4038
6272670,Train Station,,,Prince Rupert Station,"Prince Rupert Station, British Columbia, Canada",4038
6304421,Neighborhood,,neighbor,Historic Powell River Townsite,"Historic Powell River Townsite, Powell River, British Columbia, Canada",4040
6193576,Point of Interest,,golf,Nootka Dunes Golf Club,"Nootka Dunes Golf Club, Powell River, British Columbia, Canada",4040
6193580,Point of Interest,,tree,Willingdon Beach Park,"Willingdon Beach Park, Powell River, British Columbia, Canada",4040
553248633981725390,Neighborhood,,,West Queen West,"West Queen West, Ontario, Canada",4089
6193582,Point of Interest,,icecream,Powell River Putters Mini Golf,"Powell River Putters Mini Golf, Powell River, British Columbia, Canada",4040
6193584,Point of Interest,,icecream,Powell River Recreation Complex,"Powell River Recreation Complex, Powell River, British Columbia, Canada",4040
6300638,Point of Interest,,museums,Creative Rift Studio and Gallery,"Creative Rift Studio and Gallery, Powell River, British Columbia, Canada",4040
6300651,Point of Interest,,civic,Powell River Visitor Centre,"Powell River Visitor Centre, Powell River, British Columbia, Canada",4040
6300659,Point of Interest,,museums,Powell River Historical Museum and Archives,"Powell River Historical Museum and Archives, Powell River, British Columbia, Canada",4040
6058218,High Level Region,,neighbor,Upper Town,"Upper Town, Quebec, Quebec, Canada",4043
7125,City,,neighbor,Ste. Foy,"Ste. Foy, Quebec City, Quebec, Canada",4043
180228,City,,neighbor,Charlesbourg,"Charlesbourg, Quebec City, Quebec, Canada",4043
180230,City,,neighbor,Vanier,"Vanier, Quebec City, Quebec, Canada",4043
180231,City,,neighbor,Loretteville,"Loretteville, Quebec City, Quebec, Canada",4043
180232,City,,neighbor,Sillery,"Sillery, Quebec City, Quebec, Canada",4043
180233,City,,neighbor,Cap-Rouge,"Cap-Rouge, Quebec, Quebec, Canada",4043
6155225,City,,neighbor,Grande Allee,"Grande Allee, Quebec, Quebec, Canada",4043
10319,Neighborhood,,neighbor,Beauport,"Beauport, Quebec City, Quebec, Canada",4043
6058215,Neighborhood,,neighbor,Saint-Roch,"Saint-Roch, Quebec, Canada",4043
6058216,Neighborhood,,neighbor,Old Quebec,"Old Quebec, Quebec, Canada",4043
3000662874,Neighborhood,,,Lower Town,"Lower Town, Quebec, Quebec, Canada",4043
553248633981715610,Neighborhood,,,Saint-Jean Street,"Saint-Jean Street, Quebec, Canada",4043
553248635740537362,Neighborhood,,,Paroisse Sainte-Gertrude,"Paroisse Sainte-Gertrude, Quebec, Quebec, Canada",4043
553248635740541124,Neighborhood,,,Paroisse Saint-Ignace de Loyola,"Paroisse Saint-Ignace de Loyola, Quebec, Quebec, Canada",4043
6296915,Point of Interest,,golf,Metropolitan Golf Club,"Metropolitan Golf Club, Quebec, Quebec, Canada",4043
553248621532865913,Point of Interest,,,Black Bear Observatory,"Black Bear Observatory, Quebec, Quebec, Canada",4043
553248621532865916,Point of Interest,,,Au Canot Volant,"Au Canot Volant, Quebec, Quebec, Canada",4043
553248621532865919,Point of Interest,,,Le Parc des Moulins,"Le Parc des Moulins, Quebec, Quebec, Canada",4043
553248621532865929,Point of Interest,,,Pourvoirie du Lac Beauport,"Pourvoirie du Lac Beauport, Quebec, Quebec, Canada",4043
553248621532865959,Point of Interest,,,Le Trou du Diable,"Le Trou du Diable, Quebec, Quebec, Canada",4043
553248621532865972,Point of Interest,,,Parc de la Plage-Jacques-Cartier,"Parc de la Plage-Jacques-Cartier, Quebec, Quebec, Canada",4043
553248621532865979,Point of Interest,,,Club Nautique Lac St-Charles,"Club Nautique Lac St-Charles, Quebec City, Canada",4043
553248621532865982,Point of Interest,,,Carie Factory Amusement Center,"Carie Factory Amusement Center, Quebec, Quebec, Canada",4043
553248621532866418,Point of Interest,,,Parc Lineaire de la Riviere St-Charles,"Parc Lineaire de la Riviere St-Charles, Quebec, Quebec, Canada",4043
553248621554455128,Point of Interest,,,Golf Royal Charbourg,"Golf Royal Charbourg, Quebec, Quebec, Canada",4043
553248621562270753,Point of Interest,,,Maison du Tourisme de Wendake,"Maison du Tourisme de Wendake, Quebec, Quebec, Canada",4043
553248622007192935,Point of Interest,,,Club de Golf L'Albatros Ste Foy,"Club de Golf L'Albatros Ste Foy, Quebec, Quebec, Canada",4043
553248633861758783,Point of Interest,,,Base de plein air de Sainte-Foy,"Base de plein air de Sainte-Foy, Quebec, Quebec, Canada",4043
6194196,Point of Interest,,school,University College of the North - The Pas Campus,"University College of the North - The Pas Campus, The Pas, Manitoba, Canada",4045
6194201,Point of Interest,,tree,Clearwater Lake Provincial Park,"Clearwater Lake Provincial Park, The Pas, Manitoba, Canada",4045
6194203,Point of Interest,,museums,Sam Waller Museum,"Sam Waller Museum, The Pas, Manitoba, Canada",4045
6253651,Neighborhood,,neighbor,Sandwich Towne,"Sandwich Towne, Windsor, Ontario, Canada",4046
6125868,Point of Interest,,shopping,Devonshire Mall,"Devonshire Mall, Windsor, Ontario, Canada",4046
6125870,Point of Interest,,monument,Detroit Windsor Tunnel,"Detroit Windsor Tunnel, Windsor, Ontario, Canada",4046
6142372,Point of Interest,,school,University of Windsor,"University of Windsor, Windsor, Ontario, Canada",4046
6142446,Point of Interest,,golf,Ambassador Golf Club,"Ambassador Golf Club, Windsor, Ontario, Canada",4046
6158957,Point of Interest,,stadium,Windsor Family Credit Union Centre,"Windsor Family Credit Union Centre, Windsor, Ontario, Canada",4046
553248621532864679,Point of Interest,,,Jackson Park,"Jackson Park, Windsor, Ontario, Canada",4046
553248621532864680,Point of Interest,,,Dieppe Gardens,"Dieppe Gardens, Windsor, Ontario, Canada",4046
553248621532864681,Point of Interest,,,Windsor Community Museum,"Windsor Community Museum, Windsor, Ontario, Canada",4046
553248621532864682,Point of Interest,,,Willistead Manor,"Willistead Manor, Windsor, Ontario, Canada",4046
553248621532864683,Point of Interest,,,The Colosseum,"The Colosseum, Windsor, Ontario, Canada",4046
553248621532864684,Point of Interest,,,Caesars Casino,"Caesars Casino, Windsor, Ontario, Canada",4046
553248621532864685,Point of Interest,,,Olde Walkerville Neighborhood,"Olde Walkerville Neighborhood, Windsor, Ontario, Canada",4046
553248621532864686,Point of Interest,,,Coventry Gardens,"Coventry Gardens, Windsor, Ontario, Canada",4046
553248621533087505,Point of Interest,,,Caesar's Windsor,"Caesar's Windsor, Windsor, Ontario, Canada",4046
553248621533087506,Point of Interest,,,Walls Underground Railroad Museum,"Walls Underground Railroad Museum, Windsor, Ontario, Canada",4046
553248621562267940,Point of Interest,,,Ontario Travel Information Centre - Windsor,"Ontario Travel Information Centre - Windsor, Windsor, Ontario, Canada",4046
553248635974614384,Point of Interest,,,Art Gallery of Windsor,"Art Gallery of Windsor, Windsor, Ontario, Canada",4046
553248635974614570,Point of Interest,,,Adventure Bay Family Water Park,"Adventure Bay Family Water Park, Windsor, Ontario, Canada",4046
553248635974614571,Point of Interest,,,Walkerville Brewery,"Walkerville Brewery, Windsor, Ontario, Canada",4046
553248635974614574,Point of Interest,,,Chrysler Theatre,"Chrysler Theatre, Windsor, Ontario, Canada",4046
6195261,Train Station,,,Windsor Station,"Windsor Station, Ontario, Canada",4046
6089629,Point of Interest,,skiing,Mt. Maichen Ski Hill,"Mt. Maichen Ski Hill, Watson Lake, Yukon, Canada",4047
553248621562267346,Point of Interest,,,Northern Lights Centre,"Northern Lights Centre, Watson Lake, Yukon Territory, Canada",4047
553248621576998756,Point of Interest,,,Morgan Chaddock Recreation Center,"Morgan Chaddock Recreation Center, Watson Lake, Yukon Territory, Canada",4047
553248621576998757,Point of Interest,,,Sign Post Forest,"Sign Post Forest, Watson Lake, Yukon Territory, Canada",4047
6221289,Point of Interest,,monument,Cape Forchu Lightstation,"Cape Forchu Lightstation, Yarmouth, Nova Scotia, Canada",4048
6221295,Point of Interest,,golf,Yarmouth Golf and Curling Club,"Yarmouth Golf and Curling Club, Yarmouth, Nova Scotia, Canada",4048
6221299,Point of Interest,,museums,Yarmouth County Museum,"Yarmouth County Museum, Yarmouth, Nova Scotia, Canada",4048
6221305,Point of Interest,,museums,Firefighters' Museum,"Firefighters' Museum, Yarmouth, Nova Scotia, Canada",4048
553248635921598820,Neighborhood,,,Old Mill,"Old Mill, Toronto, Ontario, Canada",4089
6221308,Point of Interest,,tree,Frost Park,"Frost Park, Yarmouth, Nova Scotia, Canada",4048
6294923,Point of Interest,,shopping,Yarmouth Mall,"Yarmouth Mall, Yarmouth, Nova Scotia, Canada",4048
6342948,City,,neighbor,Azilda,"Azilda, Sudbury, Ontario, Canada",4070
6294930,Point of Interest,,stadium,Mariners Centre,"Mariners Centre, Yarmouth, Nova Scotia, Canada",4048
6300949,Point of Interest,,museums,W. Laurence Sweeney Fisheries Museum,"W. Laurence Sweeney Fisheries Museum, Yarmouth, Nova Scotia, Canada",4048
6309342,Point of Interest,,sunglass,Pembroke Beach,"Pembroke Beach, Yarmouth, Nova Scotia, Canada",4048
6309346,Point of Interest,,medical,Yarmouth Regional Hospital,"Yarmouth Regional Hospital, Yarmouth, Nova Scotia, Canada",4048
6309352,Point of Interest,,golf,Yarmouth Links,"Yarmouth Links, Yarmouth, Nova Scotia, Canada",4048
553248621532865274,Point of Interest,,,Tusket River,"Tusket River, Tusket, Canada",4048
553248621533087451,Point of Interest,,,Pelton-Fuller House,"Pelton-Fuller House, Yarmouth, Nova Scotia, Canada",4048
553248621561000420,Point of Interest,,,Yarmouth Ferry Terminal,"Yarmouth Ferry Terminal, Yarmouth, Nova Scotia, Canada",4048
553248621562269060,Point of Interest,,,Bunker Island Lighthouse,"Bunker Island Lighthouse, Arcadia, Nova Scotia, Canada",4048
553248621562269068,Point of Interest,,,The Yarmouth Arts Regional Council's Playhouse and Arts Centre,"The Yarmouth Arts Regional Council's Playhouse and Arts Centre, Yarmouth, Nova Scotia, Canada",4048
6293536,Point of Interest,,golf,Kenora Golf and Country Club,"Kenora Golf and Country Club, Kenora, Ontario, Canada",4049
6293538,Point of Interest,,tree,McLeod Park,"McLeod Park, Kenora, Ontario, Canada",4049
6293541,Point of Interest,,museums,Lake of the Woods Museum,"Lake of the Woods Museum, Kenora, Ontario, Canada",4049
553248621551367301,Point of Interest,,,Rushing River Provincial Park,"Rushing River Provincial Park, Kenora, Canada",4049
553248621551367302,Point of Interest,,,Husky The Muskie,"Husky The Muskie, Kenora, Ontario, Canada",4049
553248621551367305,Point of Interest,,,Lake of the Woods Brewing Company,"Lake of the Woods Brewing Company, Kenora, Ontario, Canada",4049
553248621551367306,Point of Interest,,,Kenora City Hall,"Kenora City Hall, Kenora, Ontario, Canada",4049
553248621551367307,Point of Interest,,,Mather Walls House,"Mather Walls House, Kenora, Ontario, Canada",4049
553248621558560639,Point of Interest,,,Mt. Evergreen Ski Area,"Mt. Evergreen Ski Area, Kenora, Ontario, Canada",4049
553248621558560641,Point of Interest,,regional,Keewatin Beach,"Keewatin Beach, Kenora, Ontario, Canada",4049
553248621558560642,Point of Interest,,regional,Garrow Park Beach,"Garrow Park Beach, Kenora, Ontario, Canada",4049
553248621558560643,Point of Interest,,,Norman Park,"Norman Park, Kenora, Ontario, Canada",4049
553248631043454605,Point of Interest,,regional,Norman Beach,"Norman Beach, Kenora, Ontario, Canada",4049
6188803,Point of Interest,,golf,Paradise Canyon Golf Course,"Paradise Canyon Golf Course, Lethbridge, Alberta, Canada",4050
6188805,Point of Interest,,tree,Nicholas Sheran Park,"Nicholas Sheran Park, Lethbridge, Alberta, Canada",4050
6188813,Point of Interest,,school,University of Lethbridge,"University of Lethbridge, Lethbridge, Alberta, Canada",4050
6188820,Point of Interest,,golf,Bridge Valley Golf Course,"Bridge Valley Golf Course, Lethbridge, Alberta, Canada",4050
6188831,Point of Interest,,museums,Galt Museum and Archives,"Galt Museum and Archives, Lethbridge, Alberta, Canada",4050
6188854,Point of Interest,,golf,Henderson Lake Golf Club,"Henderson Lake Golf Club, Lethbridge, Alberta, Canada",4050
6188858,Point of Interest,,stadium,Spitz Stadium,"Spitz Stadium, Lethbridge, Alberta, Canada",4050
6188868,Point of Interest,,shopping,Park Place Shopping Centre,"Park Place Shopping Centre, Lethbridge, Alberta, Canada",4050
6188893,Point of Interest,,school,Lethbridge College,"Lethbridge College, Lethbridge, Alberta, Canada",4050
6188908,Point of Interest,,tree,Nikka Yuko Japanese Garden,"Nikka Yuko Japanese Garden, Lethbridge, Alberta, Canada",4050
6202727,Point of Interest,,tree,Henderson Lake,"Henderson Lake, Lethbridge, Alberta, Canada",4050
6208144,Point of Interest,,historic,Fort Whoop Up,"Fort Whoop Up, Lethbridge, Alberta, Canada",4050
553248621532863860,Point of Interest,,,Siam Thai Massage & Spa,"Siam Thai Massage & Spa, Lethbridge, Alberta, Canada",4050
553248621532863861,Point of Interest,,,Helen Schuler Nature Centre,"Helen Schuler Nature Centre, Lethbridge, Alberta, Canada",4050
553248621532863863,Point of Interest,,,Evergreen Golf Centre,"Evergreen Golf Centre, Lethbridge, Alberta, Canada",4050
553248621533087388,Point of Interest,,,Sir Alexander Galt Museum,"Sir Alexander Galt Museum, Lethbridge, Alberta, Canada",4050
553248621533087390,Point of Interest,,,Indian Battle Park,"Indian Battle Park, Lethbridge, Alberta, Canada",4050
553248621587527639,Point of Interest,,,Enmax Centre,"Enmax Centre, Lethbridge, Alberta, Canada",4050
553248635180074292,Point of Interest,,,Exhibition Park Lethbridge,"Exhibition Park Lethbridge, Lethbridge, Alberta, Canada",4050
6291057,Point of Interest,,golf,Comox Golf Club,"Comox Golf Club, Comox, British Columbia, Canada",4052
6291481,Point of Interest,,golf,Glacier Greens Golf Course,"Glacier Greens Golf Course, Comox, British Columbia, Canada",4052
6291562,Point of Interest,,museums,I-Hos Gallery,"I-Hos Gallery, Courtenay, British Columbia, Canada",4052
6294577,Point of Interest,,museums,Comox Air Force Museum,"Comox Air Force Museum, Comox, British Columbia, Canada",4052
6294662,Point of Interest,,anchor,Comox Municipal Marina,"Comox Municipal Marina, Comox, British Columbia, Canada",4052
6294665,Point of Interest,,medical,St. Joseph General Hospital,"St. Joseph General Hospital, Comox, British Columbia, Canada",4052
6294667,Point of Interest,,historic,Filberg Heritage Lodge and Park,"Filberg Heritage Lodge and Park, Comox, British Columbia, Canada",4052
6089549,Point of Interest,,theater,Conexus Arts Centre,"Conexus Arts Centre, Regina, Saskatchewan, Canada",4053
6089551,Point of Interest,,stadium,Mosaic Stadium at Taylor Field,"Mosaic Stadium at Taylor Field, Regina, Saskatchewan, Canada",4053
6144158,Point of Interest,,civic,Saskatchewan Legislative Building,"Saskatchewan Legislative Building, Regina, Saskatchewan, Canada",4053
6144160,Point of Interest,,tree,Wascana Park,"Wascana Park, Regina, Saskatchewan, Canada",4053
6163957,Point of Interest,,school,University of Regina,"University of Regina, Regina, Saskatchewan, Canada",4053
6213187,Point of Interest,,stadium,Evraz Place,"Evraz Place, Regina, Saskatchewan, Canada",4053
6281636,Point of Interest,,museums,Mackenzie Art Gallery,"Mackenzie Art Gallery, Regina, Saskatchewan, Canada",4053
6281639,Point of Interest,,museums,Royal Saskatchewan Museum,"Royal Saskatchewan Museum, Regina, Saskatchewan, Canada",4053
6281643,Point of Interest,,shopping,Southland Mall,"Southland Mall, Regina, Saskatchewan, Canada",4053
6281646,Point of Interest,,golf,Lakeview Golf Course,"Lakeview Golf Course, Regina, Saskatchewan, Canada",4053
553248621557924526,Point of Interest,,,Current River Arena,"Current River Arena, Thunder Bay, Ontario, Canada",4054
6281658,Point of Interest,,theater,Dunlop Art Gallery,"Dunlop Art Gallery, Regina, Saskatchewan, Canada",4053
6281675,Point of Interest,,icecream,Saskatchewan Science Center,"Saskatchewan Science Center, Regina, Saskatchewan, Canada",4053
6281684,Point of Interest,,civic,Brandt Center,"Brandt Center, Regina, Saskatchewan, Canada",4053
6281692,Point of Interest,,casino,Casino Regina,"Casino Regina, Regina, Saskatchewan, Canada",4053
6281697,Point of Interest,,civic,Regina Exhibition Center,"Regina Exhibition Center, Regina, Saskatchewan, Canada",4053
6281701,Point of Interest,,shopping,Cornwall Center,"Cornwall Center, Regina, Saskatchewan, Canada",4053
6281704,Point of Interest,,civic,Government House,"Government House, Regina, Saskatchewan, Canada",4053
